id,rating,user
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Heather U. 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  LOTSUJI 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  BENTRIVER 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Sarah Jo 
                         "
http://allrecipes.com/recipe/6670/dees-health-bread/,stars stars-5,"  Nacmacfeagle 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,,
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-5,"  MrCardinal 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-1,"  LINDAJO 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,,
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,,
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-5,"  MrCardinal 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-5,"  DEBBIE 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-1,"  LINDAJO 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-4,"  Kelly Kindle Cheney 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-4,"  Bernice Dray 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-3,"  ofenjen 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-4,"  EMERALDCITYJEWEL 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-5,"  BDEGER 
                         "
http://allrecipes.com/recipe/6674/hawaiian-sweet-bread/,stars stars-4,"  Terri Frank Ramseyer 
 "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,,
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-5,"  Auntnett 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-3,"  GINNYG 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,,
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,,
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-5,"  Auntnett 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-3,"  GINNYG 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-5,"  Amy Howard 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-5,"  MICHELE56 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-2,"  COCONUTPALM 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-1,"  TGREEN46 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-5,"  jamila31 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,,
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-3,"  DEBORAH FIJAN 
                         "
http://allrecipes.com/recipe/6675/the-best-corn-bread-youll-ever-eat/,stars stars-5,"  LMZ78 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  Marlene Rosensweig 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-2,"  Monica SK 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,,
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,,
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  Marlene Rosensweig 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  Lindsay 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  Loll 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-4,"  TUNISIANSWIFE 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  naples34102 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  HELPMERHONDA 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  MrsNoPlea 
                         "
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  TINTINE 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,,
http://allrecipes.com/recipe/6679/dilly-bread/,,
http://allrecipes.com/recipe/6673/sun-dried-tomato-and-asiago-cheese-bread/,stars stars-5,"  Melanie Greer 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  DSRTBLND43 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-1,"  SEWON 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,,
http://allrecipes.com/recipe/6678/sourdough-bread-i/,,
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  DSRTBLND43 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-1,"  SEWON 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  yogamommy 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-4,"  GANGUET 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  WUNDERKINDER 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  The Bunny Chef 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-3,"  EMANDKYRA 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,,
http://allrecipes.com/recipe/6679/dilly-bread/,,
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  The Bunny Chef 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  ALPHAGRRL 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-4,"  Tammy 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-4,"  CREMARIE 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  GANED 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-4,"  Sue Webb Opp 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,,
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  Leslie Sullivan 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-2,"  aauger 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  zananazoe 
                         "
http://allrecipes.com/recipe/6678/sourdough-bread-i/,stars stars-5,"  rnheo 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  laurabora 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  BLHANKINS 
                         "
http://allrecipes.com/recipe/6679/dilly-bread/,stars stars-5,"  MEME 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-5,"  AJACKKFAM 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-3,"  HOLLY D 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,,
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,,
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-5,"  AJACKKFAM 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-5,"  devbeth 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-4,"  BPUTGEGO 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-4,"  WHISPERER 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-5,"  KDM54 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-5,"  Brent Hagwood 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-3,"  HOLLY D 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-4,"  CHINAGIRL33 
                         "
http://allrecipes.com/recipe/6676/no-knead-refrigerator-rolls/,stars stars-5,"  moms2398 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,,
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  CAROLINAGIRL34 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-1,"  LANCELEM 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,,
http://allrecipes.com/recipe/6677/sourdough-starter-i/,,
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  CAROLINAGIRL34 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-1,"  LANCELEM 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  JULIEVAN1 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  MCLAINART 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  CAROLE JONES 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-2,"  CLAREP 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  DAYSARAY 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  DIDEE2 
                         "
http://allrecipes.com/recipe/6677/sourdough-starter-i/,stars stars-5,"  Nancy 
                         "
http://allrecipes.com/recipe/6681/sys-challah/,,
http://allrecipes.com/recipe/6681/sys-challah/,stars stars-4,"  joshuabakes 
                         "
http://allrecipes.com/recipe/6681/sys-challah/,stars stars-3,"  Heather Houk 
                         "
http://allrecipes.com/recipe/6681/sys-challah/,,
